Covidence number,Input,Study design summary
#10425,"ESC conducted an independent survey to identify bioremediation contractors that are willing to enter into performance-based bioremediation contracts. // The survey’s format and results are then presented and analyzed. Finally, several case studies of successful bioremediation projects are presented. // ESC distributed questionnaires to 42 bioremediation contractors to inquire whether the contractors were willing to enter into a performance- based contract.","The study design uses a survey to identify bioremediation contractors, plus case studies of bioremediation projects."
#10754,"The study utilizes two analytic approaches: (1) a “top-down” method involving a survey and interviews with ESCOs to estimate aggregate market activity and identify emerging trends (Satchwell et al. 2010) and (2) a “bottom-up” analysis of a large database of ~3250 projects provided by ESCOs and their customers (i.e., the LBNL/NAESCO database). // We identified 53 companies that appeared to offer performance contracting as a service and conducted interviews with senior management. ",The study uses two forms of quantitative analysis to describe ESCO industry and market trends in the US: a survey of individual ESCOs (to estimate aggregate activity) and analysis of a project database (to report market trends).
#16068,"Our theoretical framework thus combines two disparate streams of literature (i.e. buyer–supplier and relationship management literatures) to explain the practice of PPP. Subsequently, using a multi-case field research approach, we investigate the application of this approach and draws conclusions for the effective design and implementation of PPP projects. // We first briefly survey the literature on Public Private Partnerships and outline the various components of our theoretical framework. // present three PPP project case studies. // comprehensive interviews with four senior managers at each project were conducted. The average interview lasted 122 min. These interviews enquired about their perception of the project's implementation challenges and how did they approach these challenges.",The study design consists of a literature review and multi-case field research including interviews.
#16489,"We demonstrate the narrowing effect of SIBs on conceptions of social values through a human ecological analysis of SIBs in the early childhood services sector. // We conducted a synthesized comparison of publicly available information about the 14 cases based on a document review of governmental, service provider, and consultant press releases; journal articles and media; case reports from social investment consultants; and online databases of global social impact bond projects from SIB intermediaries.",The study design consists of a literature review and human ecological analysis.
#16600,"The research processes and methods used in this study can be summarized as follows. By clarifying the key terminologies used in the paper, this study reviews the global status of implementing ESPCs to form a basis for further comparisons with the review outcomes of Taiwan. Furthermore, this study performs an analysis of case studies of ESPC projects available in Taiwan’s governmental procurement system, providing not only an outlook for understanding Taiwan’s use of ESPC’s on public building projects in terms of contract volume, contract model, payment conditions, services by ESCOs, and contract incentives but also an initiative for compiling the lessons learned. // case study // ",Authors describe the study as a set of terminology clarifications which are used as comparison examples against a literature review of Taiwanese case studies of ESPC projects.  
#1702,"The present analysis seeks to overcome these methodological challenges and accurately model treatment selection based on unobservable factors in a two-step procedure using the Heckman selection model. The Heckman selection model can yield unbiased estimates of potential outcomes, since it models the systematic differences between groups that do take treatment and those that do not. // The Heckman selection model is a two-step procedure. The first step, or selection equation, is run on the full sample of utilities using a probit model. The selection equation models which utilities are selected into the treatment subsample. The second equation, the conditional equation, is run only on the subsample that receives treatment, but also includes a variable, the inverse Mills ratio, that controls for selection into the subsample, as obtained in the first equation. This conditional equation is an ordinary least squares (OLS) model. The standard errors of both the selection and conditional equations are bootstrapped. ",This paper assess the effectiveness of demand-side management energy efficiency policies on electricity savings by adopting a form of quantitative analysis - a Heckman selection model - that can overcome issues with selection bias since it models the systematic differences between groups that do take treatment (utilities that participate in demand-side management) and those that do not.
#17048,"This report provides the consolidated findings from the study which included (i) a literature review of results-based financing (RBF) schemes in education,1 (ii) a landscaping and analysis of existing OBA projects in education, and (iii) recommendations for applying OBA in the education sector moving forward. // Desk review of literature and stakeholder interviews with sector experts // Desk review of 24 OBA education programs and stakeholder interviews with program implementers // Analysis derived from landscape of OBA education programs and key stakeholder interviews // The literature review // Through an in-depth analysis of 24 projects that were identified as meeting the definition of OBA, this report describes and analyzes common characteristics across programs and highlights factors that have facilitated the uptake of OBA approaches in education. // This report provides the consolidated findings from the study which included (i) a literature review of RBF schemes in education,6 (ii) a landscaping and analysis of existing OBA projects in education, and (iii) recommendations for applying OBA in the education sector moving forward. A roadmap to the report is provided below // ",The study design employs a literature review and interviews.
#17098,"The findings are based on interviews with program administrators, regulators, and industry representatives as well as data from numerous incentive programs nationally, particularly the largest and longest-running programs. // The findings are based on information regarding implementation experience from interviews with program administrators, regulators, and industry representatives as well as data from incentive programs nationally, particularly the largest and longest-running programs. // Based on a review of existing program experience and interviews with various stakeholders including program administrators, regulators, and industry representatives, we developed the following list of best practices for designing and implementing solar incentive programs.","The study desing uses interviews with program administrators, regulators, and industry representatives as well as data from numerous incentive programs based on a document review."
#17150,"The evaluation findings are based on an analysis of management information (MI) from November 2014 to September 2017; several waves of qualitative interviews with MyGo participants, staff and employers; and an assessment of the costs and benefits of MyGo compared with ‘business as usual’ support. // The evaluation of MyGo used a range of research methods and data sources to provide an assessment of the programme’s effectiveness. Research methods included: 1. Ongoing analysis of programme management information (MI) on MyGo participants and outcomes, to provide a clear picture of programme performance on an ongoing basis. 2. An online survey of MyGo participants and a rolling programme of qualitative research with participants, staff, employers, other partners and stakeholders, to explore experiences and views of programme delivery and outcomes, to help explain trends in performance, and to identify which aspects of MyGo services and support have been most effective for which cohorts of young people. 3. An analysis of MyGo performance compared with other similar areas, to provide an estimate of the additional impact of the MyGo offer compared to ‘business as usual’, and an assessment of the costs and economic benefits of MyGo, both to Suffolk County Council and to the wider public purse. // Qualitative research with staff and participants was undertaken in six waves // An online survey of MyGo participants was also undertaken // The impact assessment uses a ‘difference-in-difference’ approach to compare trends in the youth claimant count in the areas where MyGo has been delivered against trends in comparator districts. // ","The study uses interviews and focus groups with staff and participants, plus an online survey of participants and a difference-in-difference analyis of the intervention effect."
#17158,"This study aims to fill a critical gap in the discourse around PFS which has been largely driven by the Western experiences and perspectives. The 4 case studies covered in this series shed light on the different pathways these countries have taken towards the launch of their first impact bonds. More importantly, the studies highlight potential pitfalls, challenges and key learnings for stakeholders interested in implementing PFS through the Asian lens. // ",The study design consists of brief case studies of four impact bonds.
